버스번호,혼잡도
1116,2908
도봉01,2862
6647,2859
서대문10,2818
5624,2811
4435,2779
1156,2755
금천07,2748
1113,2740
6613,2737
1127,2665
1221,2640
광진02,2631
구로12,2618
9707,2607
강남06-1,2590
1120,2575
서초18-1,2541
343,2498
1138,2493
7024,2465
1124,2464
1143,2455
3422,2455
6654,2449
은평02,2445
종로01,2429
성동06,2381
은평04,2381
7013A,2379
774,2345
동작20,2337
서대문04,2331
771,2302
서대문13,2301
은평08-2,2301
2312,2283
성북14-2,2255
7013B,2243
마포18-1,2228
1144,2214
1131,2185
6611,2180
2234,2150
8221,2124
서대문15,2117
구로07,2113
8771,2108
271B,2097
마포07,2073
성동07,2067
서대문07,2054
성동14,2044
동작19,2038
542,2005
성동13,1981
금천11,1942
1129,1913
9711A,1852
성북15,1825
동작21,1814
성북10-2,1796
7719,1744
8552,1738
성북06,1724
8774,1717
271,1674
금천02,1651
8441,1628
동작18,1617
8331,1594
서초06,1579
구로14,1538
마포14,1531
노원13,1505
도봉08,1501
9403,1485
9701,1470
종로13,1324
8551,1302
서초20,1268
7726,1159
영등포06,1146
강서05-1,1144
구로15,1093
강서02,1068
노원04,1042
9703,1012
중랑01,983
마포13,956
4312,953
9714,947
9408,941
8003,837
01B,798
742,785
01A,767
5634,761
1226,626
동작10,622
서초01,575
8772,573
종로07,567
서초05,545
강서07,461
8112,456
성북05,429
N30,338
9711,316
8541,259
N61,256
03,222
N13,191
N16,171
N37,170
N15,166
N26,163
N62,119
N65,105
8777,16
